id;nombre;telefono;correo;dni
1;out-of-the-box action-items Salchichas;Operaciones Litas payment;Plástico;copy multi-byte de
2;Cantabria Inversor;online Chad;Queso deposit Acero;Global
3;alarm Centralizado;Peso;Montserrat drive;equipos Buckinghamshire
4;local generate Moda;bandwidth e-business Belarussian;Bacon;cero Metal
5;Gerente Ladrillo;Rojo;e-markets SDR Silla;24/7 Orígenes
6;online;metódica Borders;partnerships;Hormigon redundant synergies
7;Seguro;syndicate Hormigon;Asturias Pescado;Electrónica
8;Open-source hacking;Producto Hong Inteligente;Mesa;Guantes
9;Hecho vortals;Comunicaciones;Canarias evolve;Videojuegos Kwanza
10;integrated;data-warehouse;e-markets Seguro;Subida RAM
