id;nombre;apellido;sueldo;dni
1;Buckinghamshire;Atún 5th Implementación;85149;Platinum Vía
2;global Canarias cultivate;4th;25107;parsing Money
3;quantifying;payment quantify;14736;Camiseta Bermuda
4;Cambridgeshire Sorprendente;B2B;95824;Hecho
5;action-items;Ladrillo;52371;circuit
6;neural;Zapatos por Reducido;79565;Inversor turn-key New
7;Navarra PNG;Iranian;15546;up withdrawal
8;Artesanal invoice;conglomeración;99237;misión SAS Toallas
9;División;Buckinghamshire;18573;synthesizing clicks-and-mortar Informática
10;Automatizado;Asistente servidor;33171;supply-chains Investment Nicaragua
